date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:56	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2022:40:57%20GMT	https://web.archive.org/robots.txt		(from )
18:40:57	15690/15690	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2022:40:59%20GMT	https://web.archive.org/web/20070707122939/http://www.roblox.com/	C:/Users/SKIBI/Downloads/robox/web.archive.org/web/20070707122939/http_/www.roblox.com/index.html	(from )
18:40:58	26452/26452	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jul%202025%2018:13:37%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=1B2M2Y8A	C:/Users/SKIBI/Downloads/robox/web-static.archive.org/_static/js/bundle-playbackbc40.js	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
18:40:59	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jul%202025%2018:13:39%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=1B2M2Y8A	C:/Users/SKIBI/Downloads/robox/web-static.archive.org/_static/js/wombatbc40.js	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
18:40:59	9868/9868	---MCZ	200	added ('OK')	text/css	date:Tue,%2001%20Jul%202025%2018:14:02%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=1B2M2Y8A	C:/Users/SKIBI/Downloads/robox/web-static.archive.org/_static/css/banner-stylesbc40.css	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
18:40:59	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2001%20Jul%202025%2018:13:40%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/Users/SKIBI/Downloads/robox/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
18:40:59	5649/5649	---MCZ	200	added ('OK')	text/css	date:Tue,%2001%20Jul%202025%2018:14:02%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=1B2M2Y8A	C:/Users/SKIBI/Downloads/robox/web-static.archive.org/_static/css/iconochivebc40.css	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
18:41:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2006%20Jul%202025%2022:41:01%20GMT	https://web.archive.org/web/20070707122939js_/http://www.roblox.com/UI/IE6Hack.js	C:/Users/SKIBI/Downloads/robox/web.archive.org/web/20070707122939js_/http_/www.roblox.com/UI/IE6Hack.js	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
18:41:01	1787/1787	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2022:41:02%20GMT	https://web.archive.org/web/20110330235907js_/http://www.roblox.com/UI/IE6Hack.js	C:/Users/SKIBI/Downloads/robox/web.archive.org/web/20110330235907js_/http_/www.roblox.com/UI/IE6Hack.js	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
18:41:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2006%20Jul%202025%2022:41:03%20GMT	https://web.archive.org/web/20070707122939js_/http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/Users/SKIBI/Downloads/robox/web.archive.org/web/20070707122939js_/http_/pagead2.googlesyndication.com/pagead/show_ads.js	(from https://web.archive.org/web/20070707122939/http://www.roblox.com/)
